60,12,-1000,1000,0,5000,LINEARE
2048,0,2500
0,-1000,0
69,-966,84
139,-932,169
208,-898,254
278,-864,338
347,-830,423
416,-796,508
486,-762,593
555,-728,677
625,-694,762
694,-661,847
763,-627,932
833,-593,1016
902,-559,1101
972,-525,1186
1041,-491,1271
1111,-457,1355
1180,-423,1440
1249,-389,1525
1319,-355,1610
1388,-322,1694
1458,-288,1779
1527,-254,1864
1596,-220,1949
1666,-186,2033
1735,-152,2118
1805,-118,2203
1874,-84,2288
1943,-50,2372
2013,-16,2457
2082,16,2542
2152,50,2627
2221,84,2711
2290,118,2796
2360,152,2881
2429,186,2966
2499,220,3050
2568,254,3135
2637,288,3220
2707,322,3305
2776,355,3389
2846,389,3474
2915,423,3559
2984,457,3644
3054,491,3728
3123,525,3813
3193,559,3898
3262,593,3983
3332,627,4067
3401,661,4152
3470,694,4237
3540,728,4322
3609,762,4406
3679,796,4491
3748,830,4576
3817,864,4661
3887,898,4745
3956,932,4830
4026,966,4915
4095,1000,5000
